Test Date,County,New Positives,Cumulative Number of Positives,Total Number of Tests Performed,Cumulative Number of Tests Performed,C_POS/C_TEST
10/25/2021,Albany,44,31174,923,915232,3.406130905
10/25/2021,Allegany,9,4724,140,186646,2.530994503
10/25/2021,Bronx,61,199452,6564,5149888,3.872938596
10/25/2021,Broome,61,24862,868,777879,3.196126904
10/25/2021,Cattaraugus,21,7884,203,203001,3.883724711
10/25/2021,Cayuga,13,8758,271,259042,3.380918924
10/25/2021,Chautauqua,14,12570,154,371173,3.386560984
10/25/2021,Chemung,23,11092,293,302327,3.668875092
10/25/2021,Chenango,3,4749,121,151903,3.126337202
10/25/2021,Clinton,16,6853,406,264479,2.591131999
10/25/2021,Columbia,7,5060,153,173992,2.908179686
10/25/2021,Cortland,11,5424,131,215112,2.521477184
10/25/2021,Delaware,1,3604,130,133661,2.696373662
10/25/2021,Dutchess,23,35834,1367,982647,3.646680853
10/25/2021,Erie,191,107549,3262,2875570,3.740093268
10/25/2021,Essex,5,2380,191,100783,2.361509382
10/25/2021,Franklin,6,4370,204,127722,3.421493556
10/25/2021,Fulton,8,6473,118,147356,4.392763104
10/25/2021,Genesee,12,7132,168,183619,3.884129638
10/25/2021,Greene,9,4434,127,114979,3.856356378
10/25/2021,Hamilton,0,439,8,13012,3.373808792
10/25/2021,Herkimer,23,6913,363,211781,3.264221059
10/25/2021,Jefferson,51,9086,541,238489,3.809819321
10/25/2021,Kings,191,328647,13555,10020295,3.279813618
10/25/2021,Lewis,11,3664,109,68673,5.335430227
10/25/2021,Livingston,8,5819,180,200306,2.905055265
10/25/2021,Madison,15,6303,137,250670,2.514461244
10/25/2021,Monroe,84,85204,2090,2517818,3.384041261
10/25/2021,Montgomery,11,6074,290,147798,4.109663189
10/25/2021,Nassau,142,215227,5938,5338282,4.031765276
10/25/2021,New York,103,168806,13849,8096975,2.084803275
10/25/2021,Niagara,51,24331,892,596248,4.080684547
10/25/2021,Oneida,30,28946,906,1021504,2.833664871
10/25/2021,Onondaga,62,52686,940,1922549,2.740424301
10/25/2021,Ontario,13,9480,251,312496,3.033638831
10/25/2021,Orange,54,57878,1409,1109596,5.216132719
10/25/2021,Orleans,14,4424,311,100890,4.384973734
10/25/2021,Oswego,45,11913,342,350424,3.399595918
10/25/2021,Otsego,6,4632,197,208114,2.22570322
10/25/2021,Putnam,7,12557,244,307065,4.089362187
10/25/2021,Queens,147,309070,12470,8536263,3.620671013
10/25/2021,Rensselaer,18,15024,591,582468,2.579369167
10/25/2021,Richmond,60,88343,2916,2273470,3.885822113
10/25/2021,Rockland,51,53368,1342,1166285,4.575896972
10/25/2021,Saratoga,37,20582,707,664707,3.096401873
10/25/2021,Schenectady,22,16992,439,528797,3.213331392
10/25/2021,Schoharie,5,2342,97,76349,3.067492698
10/25/2021,Schuyler,2,1560,47,57823,2.697888384
10/25/2021,Seneca,3,2770,121,87660,3.159936117
10/25/2021,St. Lawrence,30,10772,468,424732,2.536187525
10/25/2021,Steuben,18,10322,386,291782,3.537572571
10/25/2021,Suffolk,195,240888,7061,5496276,4.382749338
10/25/2021,Sullivan,16,8557,379,187693,4.559040561
10/25/2021,Tioga,15,5209,160,146544,3.554563817
10/25/2021,Tompkins,3,6583,1315,2633667,0.24995567
10/25/2021,Ulster,21,17394,804,563669,3.085853577
10/25/2021,Warren,12,5606,249,201546,2.781499013
10/25/2021,Washington,15,4729,176,173297,2.728841238
10/25/2021,Wayne,22,8328,321,246281,3.381503242
10/25/2021,Westchester,49,143987,4377,3747347,3.842371683
10/25/2021,Wyoming,2,4436,165,104867,4.230120057
10/25/2021,Yates,1,1678,37,57839,2.901156659
